user_id,user_type,user_firstname,user_surname,user_phone,user_email,user_username,user_password,user_isactive
500,s,Charlotte,Jones,420123456,charlotte_jones@hotmail.com,Charlizard,KRkXHucL,1
501,s,Olivia,Williams,410345678,olivia.w@gmail.com,OliviaW,mddmx84Y,1
502,s,Amelia,Brown,450987654,amelia.brown12@gmail.com,AmyBoBamy,fYXV9KfC,1
503,s,Ava,Wilson,423456789,avavava@hotmail.com,Avavava,3bup7Rhh,1
504,s,Mia,Taylor,420234567,miataylor2015@bigpond.com,Mistletoe,pZjh6t33,0
505,s,Isla,Johnson,420456567,isla_johnson3@gmail.com,Starry,YZumTUHM,1
506,s,Grace,Campbell,420226678,stateofgrace@gmail.com,Graceful_Soup,CSdUnKjJ,1
507,s,Harper,Lee,410510691,freakycoincidence@hotmail.com,Freaky_Coincidence,pxNSDZvV,1
508,s,Chloe,Smith,450934332,sparklepookiebear@hotmail.com,Sparkle_Arkle,tF5fs9Y5,1
509,s,Willow,White,407867556,worldwidewillow@bigpond.com,Will_o_Wisp,vfprq2mK,1
510,s,Oliver,Martin,407293443,Ilikeolives@hotmail.com,Olive_Boy,FWpP9E9z,0
511,s,Jack,Anderson,407844851,mranderson09@gmail.com,Lantern,qSXFX4Dm,1
512,s,William,Thompson,423777403,superskater@hotmail.com,Sk8erboy,ugaz7Ly8,1
513,s,Noah,Thomas,421333444,nauticalnoah@gmail.com,Umbrella,pH6uj9cd,1
514,s,Henry,Walker,422486773,sorelegsgalore@hotmail.com,HenryW,CVhmQ9Rs,1
515,s,Thomas,Nguyen,405003231,thomas.nguyen10@gmail.com,PhoReal,CY8nbEzh,1
516,t,Alexander,Ryan,420295588,alex_ryan@musicschool.com.au,AlexR,q8jEKT5x,1
517,t,Joshua,Robinson,411223445,joshua_robinson@learngoodnow.com.au,Joshua_Robinson,XhYPD8ky,1
518,t,Zoe,King,422856646,zoe_king@musicschool.com.au,ZoeK,5ykUCHy3,1
519,t,Abigail,Kelly,420797371,abbeyk@musicschool.com.au,AbbeyK,ZYmxq3e7,1
520,t,Gail,Smith,450860510,gsmith@privatemusicteachers.com.au,Gail_Smith,H5UwzsNL,1
521,t,Douglas,Adams,444231123,douggie@galaxy.universe,ThirtySix,Zaphod,0
524,s,Sharon,Smith,444444444,shazza@gmail.com,Shazza,$2b$10$SswpVSGtJfelokmufv2/aeiwRuFloDvBjpVNTC2tk6vmuyEkkmLS2,1
525,t,Mr,Miyagi,420123456,waxon@hotmail.com,Waxon,$2b$10$ucGI/Bc/Mhx0Yl92zZWrv.6Yc.ZeBy6UFT/FhhkFLaK59PaGEb4mG,1
